dex_number,dex_number_int,species_display_name,form_display_name,form_api_name,is_default,types,hp,attack,defense,special_attack,special_defense,speed,abilities,move_count,height,weight,generation,is_legendary,is_mythical
0121,121,Starmie,Starmie,starmie,True,water|psychic,60,75,85,100,85,115,Illuminate|Natural Cure|Analytic,93,11,800,generation-i,False,False
0121,121,Starmie,Starmie Mega,starmie-mega,False,water|psychic,60,100,105,130,105,120,Huge Power,0,23,800,generation-i,False,False
0122,122,Mr. Mime,Mr. Mime,mr-mime,True,psychic|fairy,40,45,65,100,120,90,Soundproof|Filter|Technician,128,13,545,generation-i,False,False
0122,122,Mr. Mime,Mr Mime Galar,mr-mime-galar,False,ice|psychic,50,65,65,90,90,100,Vital Spirit|Screen Cleaner|Ice Body,89,14,568,generation-i,False,False
0123,123,Scyther,Scyther,scyther,True,bug|flying,70,110,80,55,80,105,Swarm|Technician|Steadfast,89,15,560,generation-i,False,False
0124,124,Jynx,Jynx,jynx,True,ice|psychic,65,50,35,115,95,95,Oblivious|Forewarn|Dry Skin,121,14,406,generation-i,False,False
0125,125,Electabuzz,Electabuzz,electabuzz,True,electric,65,83,57,95,85,105,Static|Vital Spirit,99,11,300,generation-i,False,False
0126,126,Magmar,Magmar,magmar,True,fire,65,95,57,100,85,93,Flame Body|Vital Spirit,101,13,445,generation-i,False,False
0127,127,Pinsir,Pinsir,pinsir,True,bug,65,125,100,55,70,85,Hyper Cutter|Mold Breaker|Moxie,85,15,550,generation-i,False,False
0127,127,Pinsir,Pinsir Mega,pinsir-mega,False,bug|flying,65,155,120,65,90,105,Aerilate,69,17,590,generation-i,False,False
0128,128,Tauros,Tauros,tauros,True,normal,75,100,95,40,70,110,Intimidate|Anger Point|Sheer Force,96,14,884,generation-i,False,False
0128,128,Tauros,Tauros Paldea Combat Breed,tauros-paldea-combat-breed,False,fighting,75,110,105,30,70,100,Intimidate|Anger Point|Cud Chew,50,14,1150,generation-i,False,False
0128,128,Tauros,Tauros Paldea Blaze Breed,tauros-paldea-blaze-breed,False,fighting|fire,75,110,105,30,70,100,Intimidate|Anger Point|Cud Chew,55,14,850,generation-i,False,False
0128,128,Tauros,Tauros Paldea Aqua Breed,tauros-paldea-aqua-breed,False,fighting|water,75,110,105,30,70,100,Intimidate|Anger Point|Cud Chew,54,14,1100,generation-i,False,False
0129,129,Magikarp,Magikarp,magikarp,True,water,20,10,55,15,20,80,Swift Swim|Rattled,5,9,100,generation-i,False,False
0130,130,Gyarados,Gyarados,gyarados,True,water|flying,95,125,79,60,100,81,Intimidate|Moxie,102,65,2350,generation-i,False,False
0130,130,Gyarados,Gyarados Mega,gyarados-mega,False,water|dark,95,155,109,70,130,81,Mold Breaker,70,65,3050,generation-i,False,False
0131,131,Lapras,Lapras,lapras,True,water|ice,130,85,80,85,95,60,Water Absorb|Shell Armor|Hydration,112,25,2200,generation-i,False,False
0131,131,Lapras,Lapras Gmax,lapras-gmax,False,water|ice,130,85,80,85,95,60,Water Absorb|Shell Armor|Hydration,0,240,10000,generation-i,False,False
0132,132,Ditto,Ditto,ditto,True,normal,48,48,48,48,48,48,Limber|Imposter,1,3,40,generation-i,False,False
0133,133,Eevee,Eevee,eevee,True,normal,55,55,50,45,65,55,Run Away|Adaptability|Anticipation,74,3,65,generation-i,False,False
0133,133,Eevee,Eevee Starter,eevee-starter,False,normal,65,75,70,65,85,75,Run Away|Adaptability|Anticipation,30,3,65,generation-i,False,False
0133,133,Eevee,Eevee Gmax,eevee-gmax,False,normal,55,55,50,45,65,55,Run Away|Adaptability|Anticipation,0,180,10000,generation-i,False,False
0134,134,Vaporeon,Vaporeon,vaporeon,True,water,130,65,60,110,95,65,Water Absorb|Hydration,98,10,290,generation-i,False,False
0135,135,Jolteon,Jolteon,jolteon,True,electric,65,65,60,110,95,130,Volt Absorb|Quick Feet,97,8,245,generation-i,False,False
0136,136,Flareon,Flareon,flareon,True,fire,65,130,60,95,110,65,Flash Fire|Guts,94,9,250,generation-i,False,False
0137,137,Porygon,Porygon,porygon,True,normal,65,60,70,85,75,40,Trace|Download|Analytic,87,8,365,generation-i,False,False
0138,138,Omanyte,Omanyte,omanyte,True,rock|water,35,40,100,90,55,35,Swift Swim|Shell Armor|Weak Armor,80,4,75,generation-i,False,False
0139,139,Omastar,Omastar,omastar,True,rock|water,70,60,125,115,70,55,Swift Swim|Shell Armor|Weak Armor,86,10,350,generation-i,False,False
0140,140,Kabuto,Kabuto,kabuto,True,rock|water,30,80,90,55,45,55,Swift Swim|Battle Armor|Weak Armor,83,5,115,generation-i,False,False
0141,141,Kabutops,Kabutops,kabutops,True,rock|water,60,115,105,65,70,80,Swift Swim|Battle Armor|Weak Armor,103,13,405,generation-i,False,False
0142,142,Aerodactyl,Aerodactyl,aerodactyl,True,rock|flying,80,105,65,60,75,130,Rock Head|Pressure|Unnerve,98,18,590,generation-i,False,False
0142,142,Aerodactyl,Aerodactyl Mega,aerodactyl-mega,False,rock|flying,80,135,85,70,95,150,Tough Claws,78,21,790,generation-i,False,False
0143,143,Snorlax,Snorlax,snorlax,True,normal,160,110,65,65,110,30,Immunity|Thick Fat|Gluttony,137,21,4600,generation-i,False,False
0143,143,Snorlax,Snorlax Gmax,snorlax-gmax,False,normal,160,110,65,65,110,30,Immunity|Thick Fat|Gluttony,0,350,10000,generation-i,False,False
0144,144,Articuno,Articuno,articuno,True,ice|flying,90,85,100,95,125,85,Pressure|Snow Cloak,90,17,554,generation-i,True,False
0144,144,Articuno,Articuno Galar,articuno-galar,False,psychic|flying,90,85,85,125,100,95,Competitive,58,17,509,generation-i,True,False
0145,145,Zapdos,Zapdos,zapdos,True,electric|flying,90,90,85,125,90,100,Pressure|Static,88,16,526,generation-i,True,False
0145,145,Zapdos,Zapdos Galar,zapdos-galar,False,fighting|flying,90,125,90,85,90,100,Defiant,62,16,582,generation-i,True,False
0146,146,Moltres,Moltres,moltres,True,fire|flying,90,100,90,125,85,90,Pressure|Flame Body,84,20,600,generation-i,True,False
0146,146,Moltres,Moltres Galar,moltres-galar,False,dark|flying,90,85,90,100,125,90,Berserk,54,20,660,generation-i,True,False
0147,147,Dratini,Dratini,dratini,True,dragon,41,64,45,50,50,50,Shed Skin|Marvel Scale,86,18,33,generation-i,False,False
0148,148,Dragonair,Dragonair,dragonair,True,dragon,61,84,65,70,70,70,Shed Skin|Marvel Scale,84,40,165,generation-i,False,False
0149,149,Dragonite,Dragonite,dragonite,True,dragon|flying,91,134,95,100,100,80,Inner Focus|Multiscale,138,22,2100,generation-i,False,False
0149,149,Dragonite,Dragonite Mega,dragonite-mega,False,dragon|flying,91,124,115,145,125,100,Multiscale,0,22,2900,generation-i,False,False
0150,150,Mewtwo,Mewtwo,mewtwo,True,psychic,106,110,90,154,90,130,Pressure|Unnerve,167,20,1220,generation-i,True,False
0150,150,Mewtwo,Mewtwo Mega X,mewtwo-mega-x,False,psychic|fighting,106,190,100,154,100,130,Steadfast,115,23,1270,generation-i,True,False
0150,150,Mewtwo,Mewtwo Mega Y,mewtwo-mega-y,False,psychic,106,150,70,194,120,140,Insomnia,115,15,330,generation-i,True,False
0151,151,Mew,Mew,mew,True,psychic,100,100,100,100,100,100,Synchronize,375,4,40,generation-i,False,True
0152,152,Chikorita,Chikorita,chikorita,True,grass,45,49,65,49,65,45,Overgrow|Leaf Guard,76,9,64,generation-ii,False,False
0153,153,Bayleef,Bayleef,bayleef,True,grass,60,62,80,63,80,60,Overgrow|Leaf Guard,78,12,158,generation-ii,False,False
0154,154,Meganium,Meganium,meganium,True,grass,80,82,100,83,100,80,Overgrow|Leaf Guard,92,18,1005,generation-ii,False,False
0154,154,Meganium,Meganium Mega,meganium-mega,False,grass|fairy,80,92,115,143,115,80,Mega Sol,0,24,2010,generation-ii,False,False
0155,155,Cyndaquil,Cyndaquil,cyndaquil,True,fire,39,52,43,60,50,65,Blaze|Flash Fire,77,5,79,generation-ii,False,False
0156,156,Quilava,Quilava,quilava,True,fire,58,64,58,80,65,80,Blaze|Flash Fire,77,9,190,generation-ii,False,False
0157,157,Typhlosion,Typhlosion,typhlosion,True,fire,78,84,78,109,85,100,Blaze|Flash Fire,111,17,795,generation-ii,False,False
0157,157,Typhlosion,Typhlosion Hisui,typhlosion-hisui,False,fire|ghost,73,84,78,119,85,95,Blaze|Frisk,74,16,698,generation-ii,False,False
0158,158,Totodile,Totodile,totodile,True,water,50,65,64,44,48,43,Torrent|Sheer Force,98,6,95,generation-ii,False,False
0159,159,Croconaw,Croconaw,croconaw,True,water,65,80,80,59,63,58,Torrent|Sheer Force,100,11,250,generation-ii,False,False
0160,160,Feraligatr,Feraligatr,feraligatr,True,water,85,105,100,79,83,78,Torrent|Sheer Force,117,23,888,generation-ii,False,False
0160,160,Feraligatr,Feraligatr Mega,feraligatr-mega,False,water|dragon,85,160,125,89,93,78,Dragonize,0,23,1088,generation-ii,False,False
0161,161,Sentret,Sentret,sentret,True,normal,35,46,34,35,45,20,Run Away|Keen Eye|Frisk,100,8,60,generation-ii,False,False
0162,162,Furret,Furret,furret,True,normal,85,76,64,45,55,90,Run Away|Keen Eye|Frisk,105,18,325,generation-ii,False,False
0163,163,Hoothoot,Hoothoot,hoothoot,True,normal|flying,60,30,30,36,56,50,Insomnia|Keen Eye|Tinted Lens,92,7,212,generation-ii,False,False
0164,164,Noctowl,Noctowl,noctowl,True,normal|flying,100,50,50,86,96,70,Insomnia|Keen Eye|Tinted Lens,96,16,408,generation-ii,False,False
0165,165,Ledyba,Ledyba,ledyba,True,bug|flying,40,20,30,40,80,55,Swarm|Early Bird|Rattled,74,10,108,generation-ii,False,False
0166,166,Ledian,Ledian,ledian,True,bug|flying,55,35,50,55,110,85,Swarm|Early Bird|Iron Fist,73,14,356,generation-ii,False,False
0167,167,Spinarak,Spinarak,spinarak,True,bug|poison,40,60,40,40,40,30,Swarm|Insomnia|Sniper,81,5,85,generation-ii,False,False
0168,168,Ariados,Ariados,ariados,True,bug|poison,70,90,70,60,70,40,Swarm|Insomnia|Sniper,85,11,335,generation-ii,False,False
0169,169,Crobat,Crobat,crobat,True,poison|flying,85,90,80,70,80,130,Inner Focus|Infiltrator,81,18,750,generation-ii,False,False
0170,170,Chinchou,Chinchou,chinchou,True,water|electric,75,38,38,56,56,67,Volt Absorb|Illuminate|Water Absorb,77,5,120,generation-ii,False,False
0171,171,Lanturn,Lanturn,lanturn,True,water|electric,125,58,58,76,76,67,Volt Absorb|Illuminate|Water Absorb,84,12,225,generation-ii,False,False
0172,172,Pichu,Pichu,pichu,True,electric,20,40,15,35,35,60,Static|Lightning Rod,86,3,20,generation-ii,False,False
0173,173,Cleffa,Cleffa,cleffa,True,fairy,50,25,28,45,55,15,Cute Charm|Magic Guard|Friend Guard,109,3,30,generation-ii,False,False
0174,174,Igglybuff,Igglybuff,igglybuff,True,normal|fairy,90,30,15,40,20,15,Cute Charm|Competitive|Friend Guard,96,3,10,generation-ii,False,False
0175,175,Togepi,Togepi,togepi,True,fairy,35,20,65,40,65,20,Hustle|Serene Grace|Super Luck,106,3,15,generation-ii,False,False
0176,176,Togetic,Togetic,togetic,True,fairy|flying,55,40,85,80,105,40,Hustle|Serene Grace|Super Luck,121,6,32,generation-ii,False,False
0177,177,Natu,Natu,natu,True,psychic|flying,40,50,45,70,45,70,Synchronize|Early Bird|Magic Bounce,93,2,20,generation-ii,False,False
0178,178,Xatu,Xatu,xatu,True,psychic|flying,65,75,70,95,70,95,Synchronize|Early Bird|Magic Bounce,91,15,150,generation-ii,False,False
0179,179,Mareep,Mareep,mareep,True,electric,55,40,40,65,45,35,Static|Plus,71,6,78,generation-ii,False,False
0180,180,Flaaffy,Flaaffy,flaaffy,True,electric,70,55,55,80,60,45,Static|Plus,83,8,133,generation-ii,False,False
0181,181,Ampharos,Ampharos,ampharos,True,electric,90,75,85,115,90,55,Static|Plus,100,14,615,generation-ii,False,False
0181,181,Ampharos,Ampharos Mega,ampharos-mega,False,electric|dragon,90,95,105,165,110,45,Mold Breaker,64,14,615,generation-ii,False,False
0182,182,Bellossom,Bellossom,bellossom,True,grass,75,80,95,90,100,50,Chlorophyll|Healer,86,4,58,generation-ii,False,False
0183,183,Marill,Marill,marill,True,water|fairy,70,20,50,20,50,40,Thick Fat|Huge Power|Sap Sipper,109,4,85,generation-ii,False,False
0184,184,Azumarill,Azumarill,azumarill,True,water|fairy,100,50,80,60,80,50,Thick Fat|Huge Power|Sap Sipper,100,8,285,generation-ii,False,False
0185,185,Sudowoodo,Sudowoodo,sudowoodo,True,rock,70,100,115,30,65,30,Sturdy|Rock Head|Rattled,101,12,380,generation-ii,False,False
0186,186,Politoed,Politoed,politoed,True,water,90,75,75,90,100,70,Water Absorb|Damp|Drizzle,92,11,339,generation-ii,False,False
0187,187,Hoppip,Hoppip,hoppip,True,grass|flying,35,35,40,35,55,50,Chlorophyll|Leaf Guard|Infiltrator,83,4,5,generation-ii,False,False
0188,188,Skiploom,Skiploom,skiploom,True,grass|flying,55,45,50,45,65,80,Chlorophyll|Leaf Guard|Infiltrator,75,6,10,generation-ii,False,False
0189,189,Jumpluff,Jumpluff,jumpluff,True,grass|flying,75,55,70,55,95,110,Chlorophyll|Leaf Guard|Infiltrator,78,8,30,generation-ii,False,False
0190,190,Aipom,Aipom,aipom,True,normal,55,70,55,40,55,85,Run Away|Pickup|Skill Link,115,8,115,generation-ii,False,False
0191,191,Sunkern,Sunkern,sunkern,True,grass,30,30,30,30,30,30,Chlorophyll|Solar Power|Early Bird,63,3,18,generation-ii,False,False
0192,192,Sunflora,Sunflora,sunflora,True,grass,75,75,55,105,85,30,Chlorophyll|Solar Power|Early Bird,69,8,85,generation-ii,False,False
0193,193,Yanma,Yanma,yanma,True,bug|flying,65,65,45,75,45,95,Speed Boost|Compound Eyes|Frisk,73,12,380,generation-ii,False,False
0194,194,Wooper,Wooper,wooper,True,water|ground,55,45,45,25,25,15,Damp|Water Absorb|Unaware,92,4,85,generation-ii,False,False
0194,194,Wooper,Wooper Paldea,wooper-paldea,False,poison|ground,55,45,45,25,25,15,Poison Point|Water Absorb|Unaware,59,4,110,generation-ii,False,False
0195,195,Quagsire,Quagsire,quagsire,True,water|ground,95,85,85,65,65,35,Damp|Water Absorb|Unaware,102,14,750,generation-ii,False,False
0196,196,Espeon,Espeon,espeon,True,psychic,65,65,60,130,95,110,Synchronize|Magic Bounce,101,9,265,generation-ii,False,False
0197,197,Umbreon,Umbreon,umbreon,True,dark,95,65,110,60,130,65,Synchronize|Inner Focus,98,10,270,generation-ii,False,False
0198,198,Murkrow,Murkrow,murkrow,True,dark|flying,60,85,42,85,42,91,Insomnia|Super Luck|Prankster,98,5,21,generation-ii,False,False
0199,199,Slowking,Slowking,slowking,True,water|psychic,95,75,80,100,110,30,Oblivious|Own Tempo|Regenerator,134,20,795,generation-ii,False,False
0199,199,Slowking,Slowking Galar,slowking-galar,False,poison|psychic,95,65,80,110,110,30,Curious Medicine|Own Tempo|Regenerator,108,18,795,generation-ii,False,False
0200,200,Misdreavus,Misdreavus,misdreavus,True,ghost,60,60,60,85,85,85,Levitate,108,7,10,generation-ii,False,False
0201,201,Unown,Unown,unown,True,psychic,48,72,48,72,48,48,Levitate,1,5,50,generation-ii,False,False
0202,202,Wobbuffet,Wobbuffet,wobbuffet,True,psychic,190,33,58,33,58,33,Shadow Tag|Telepathy,8,13,285,generation-ii,False,False
0203,203,Girafarig,Girafarig,girafarig,True,normal|psychic,70,80,65,90,65,85,Inner Focus|Early Bird|Sap Sipper,112,15,415,generation-ii,False,False
0204,204,Pineco,Pineco,pineco,True,bug,50,65,90,35,35,15,Sturdy|Overcoat,79,6,72,generation-ii,False,False
0205,205,Forretress,Forretress,forretress,True,bug|steel,75,90,140,60,60,40,Sturdy|Overcoat,97,12,1258,generation-ii,False,False
0206,206,Dunsparce,Dunsparce,dunsparce,True,normal,100,70,70,65,65,45,Serene Grace|Run Away|Rattled,116,15,140,generation-ii,False,False
0207,207,Gligar,Gligar,gligar,True,ground|flying,65,75,105,35,65,85,Hyper Cutter|Sand Veil|Immunity,112,11,648,generation-ii,False,False
0208,208,Steelix,Steelix,steelix,True,steel|ground,75,85,200,55,65,30,Rock Head|Sturdy|Sheer Force,96,92,4000,generation-ii,False,False
0208,208,Steelix,Steelix Mega,steelix-mega,False,steel|ground,75,125,230,55,95,30,Sand Force,68,105,7400,generation-ii,False,False
0209,209,Snubbull,Snubbull,snubbull,True,fairy,60,80,50,40,40,30,Intimidate|Run Away|Rattled,111,6,78,generation-ii,False,False
0210,210,Granbull,Granbull,granbull,True,fairy,90,120,75,60,60,45,Intimidate|Quick Feet|Rattled,118,14,487,generation-ii,False,False
0211,211,Qwilfish,Qwilfish,qwilfish,True,water|poison,65,95,85,55,55,85,Poison Point|Swift Swim|Intimidate,99,5,39,generation-ii,False,False
0211,211,Qwilfish,Qwilfish Hisui,qwilfish-hisui,False,dark|poison,65,95,85,55,55,85,Poison Point|Swift Swim|Intimidate,69,5,39,generation-ii,False,False
0212,212,Scizor,Scizor,scizor,True,bug|steel,70,130,100,55,80,65,Swarm|Technician|Light Metal,97,18,1180,generation-ii,False,False
0212,212,Scizor,Scizor Mega,scizor-mega,False,bug|steel,70,150,140,65,100,75,Technician,62,20,1250,generation-ii,False,False
0213,213,Shuckle,Shuckle,shuckle,True,bug|rock,20,10,230,10,230,5,Sturdy|Gluttony|Contrary,81,6,205,generation-ii,False,False
0214,214,Heracross,Heracross,heracross,True,bug|fighting,80,125,75,40,95,85,Swarm|Guts|Moxie,99,15,540,generation-ii,False,False
0214,214,Heracross,Heracross Mega,heracross-mega,False,bug|fighting,80,185,115,40,105,75,Skill Link,75,17,625,generation-ii,False,False
0215,215,Sneasel,Sneasel,sneasel,True,dark|ice,55,95,55,35,75,115,Inner Focus|Keen Eye|Pickpocket,117,9,280,generation-ii,False,False
0215,215,Sneasel,Sneasel Hisui,sneasel-hisui,False,fighting|poison,55,95,55,35,75,115,Inner Focus|Keen Eye|Pickpocket,68,9,270,generation-ii,False,False
0216,216,Teddiursa,Teddiursa,teddiursa,True,normal,60,80,50,50,50,40,Pickup|Quick Feet|Honey Gather,104,6,88,generation-ii,False,False
0217,217,Ursaring,Ursaring,ursaring,True,normal,90,130,75,75,75,55,Guts|Quick Feet|Unnerve,107,18,1258,generation-ii,False,False
0218,218,Slugma,Slugma,slugma,True,fire,40,40,40,70,40,20,Magma Armor|Flame Body|Weak Armor,80,7,350,generation-ii,False,False
0219,219,Magcargo,Magcargo,magcargo,True,fire|rock,60,50,120,90,80,30,Magma Armor|Flame Body|Weak Armor,91,8,550,generation-ii,False,False
0220,220,Swinub,Swinub,swinub,True,ice|ground,50,50,40,30,30,50,Oblivious|Snow Cloak|Thick Fat,78,4,65,generation-ii,False,False
0221,221,Piloswine,Piloswine,piloswine,True,ice|ground,100,100,80,60,60,50,Oblivious|Snow Cloak|Thick Fat,85,11,558,generation-ii,False,False
0222,222,Corsola,Corsola,corsola,True,water|rock,65,55,95,65,95,35,Hustle|Natural Cure|Regenerator,94,6,50,generation-ii,False,False
0222,222,Corsola,Corsola Galar,corsola-galar,False,ghost,60,55,100,65,100,30,Weak Armor|Cursed Body,67,6,5,generation-ii,False,False
0223,223,Remoraid,Remoraid,remoraid,True,water,35,65,35,65,35,65,Hustle|Sniper|Moody,73,6,120,generation-ii,False,False
0224,224,Octillery,Octillery,octillery,True,water,75,105,75,105,75,45,Suction Cups|Sniper|Moody,81,9,285,generation-ii,False,False
0225,225,Delibird,Delibird,delibird,True,ice|flying,45,55,45,65,45,75,Vital Spirit|Hustle|Insomnia,101,9,160,generation-ii,False,False
0226,226,Mantine,Mantine,mantine,True,water|flying,85,40,70,80,140,70,Swift Swim|Water Absorb|Water Veil,87,21,2200,generation-ii,False,False
0227,227,Skarmory,Skarmory,skarmory,True,steel|flying,65,80,140,40,70,70,Keen Eye|Sturdy|Weak Armor,90,17,505,generation-ii,False,False
0227,227,Skarmory,Skarmory Mega,skarmory-mega,False,steel|flying,65,140,110,40,100,110,Stalwart,0,17,404,generation-ii,False,False
0228,228,Houndour,Houndour,houndour,True,dark|fire,45,60,30,80,50,65,Early Bird|Flash Fire|Unnerve,95,6,108,generation-ii,False,False
0229,229,Houndoom,Houndoom,houndoom,True,dark|fire,75,90,50,110,80,95,Early Bird|Flash Fire|Unnerve,95,14,350,generation-ii,False,False
0229,229,Houndoom,Houndoom Mega,houndoom-mega,False,dark|fire,75,90,90,140,90,115,Solar Power,64,19,495,generation-ii,False,False
0230,230,Kingdra,Kingdra,kingdra,True,water|dragon,75,95,95,95,95,85,Swift Swim|Sniper|Damp,78,18,1520,generation-ii,False,False
0231,231,Phanpy,Phanpy,phanpy,True,ground,90,60,60,40,40,40,Pickup|Sand Veil,77,5,335,generation-ii,False,False
0232,232,Donphan,Donphan,donphan,True,ground,90,120,120,60,60,50,Sturdy|Sand Veil,94,11,1200,generation-ii,False,False
0233,233,Porygon2,Porygon2,porygon2,True,normal,85,80,90,105,95,60,Trace|Download|Analytic,78,6,325,generation-ii,False,False
0234,234,Stantler,Stantler,stantler,True,normal,73,95,62,85,65,85,Intimidate|Frisk|Sap Sipper,103,14,712,generation-ii,False,False
0235,235,Smeargle,Smeargle,smeargle,True,normal,55,20,35,20,45,75,Own Tempo|Technician|Moody,1,12,580,generation-ii,False,False
0236,236,Tyrogue,Tyrogue,tyrogue,True,fighting,35,35,35,35,35,35,Guts|Steadfast|Vital Spirit,66,7,210,generation-ii,False,False
0237,237,Hitmontop,Hitmontop,hitmontop,True,fighting,50,95,95,35,110,70,Intimidate|Technician|Steadfast,89,14,480,generation-ii,False,False
0238,238,Smoochum,Smoochum,smoochum,True,ice|psychic,45,30,15,85,65,65,Oblivious|Forewarn|Hydration,93,4,60,generation-ii,False,False
0239,239,Elekid,Elekid,elekid,True,electric,45,63,37,65,55,95,Static|Vital Spirit,87,6,235,generation-ii,False,False
0240,240,Magby,Magby,magby,True,fire,45,75,37,70,55,83,Flame Body|Vital Spirit,85,7,214,generation-ii,False,False
0241,241,Miltank,Miltank,miltank,True,normal,95,80,105,40,70,100,Thick Fat|Scrappy|Sap Sipper,99,12,755,generation-ii,False,False
0242,242,Blissey,Blissey,blissey,True,normal,255,10,10,75,135,55,Natural Cure|Serene Grace|Healer,137,15,468,generation-ii,False,False
0243,243,Raikou,Raikou,raikou,True,electric,90,85,75,115,100,115,Pressure|Inner Focus,86,19,1780,generation-ii,True,False
0244,244,Entei,Entei,entei,True,fire,115,115,85,90,75,100,Pressure|Inner Focus,81,21,1980,generation-ii,True,False
0245,245,Suicune,Suicune,suicune,True,water,100,75,115,90,115,85,Pressure|Inner Focus,84,20,1870,generation-ii,True,False
0246,246,Larvitar,Larvitar,larvitar,True,rock|ground,50,64,50,45,50,41,Guts|Sand Veil,80,6,720,generation-ii,False,False
0247,247,Pupitar,Pupitar,pupitar,True,rock|ground,70,84,70,65,70,51,Shed Skin,81,12,1520,generation-ii,False,False
0248,248,Tyranitar,Tyranitar,tyranitar,True,rock|dark,100,134,110,95,100,61,Sand Stream|Unnerve,134,20,2020,generation-ii,False,False
0248,248,Tyranitar,Tyranitar Mega,tyranitar-mega,False,rock|dark,100,164,150,95,120,71,Sand Stream,89,25,2550,generation-ii,False,False
0249,249,Lugia,Lugia,lugia,True,psychic|flying,106,90,130,90,154,110,Pressure|Multiscale,119,52,2160,generation-ii,True,False
0250,250,Ho-Oh,Ho-Oh,ho-oh,True,fire|flying,106,130,90,110,154,90,Pressure|Regenerator,102,38,1990,generation-ii,True,False
0251,251,Celebi,Celebi,celebi,True,psychic|grass,100,100,100,100,100,100,Natural Cure,104,6,50,generation-ii,False,True
0252,252,Treecko,Treecko,treecko,True,grass,40,45,35,65,55,70,Overgrow|Unburden,98,5,50,generation-iii,False,False
0253,253,Grovyle,Grovyle,grovyle,True,grass,50,65,45,85,65,95,Overgrow|Unburden,100,9,216,generation-iii,False,False
0254,254,Sceptile,Sceptile,sceptile,True,grass,70,85,65,105,85,120,Overgrow|Unburden,121,17,522,generation-iii,False,False
0254,254,Sceptile,Sceptile Mega,sceptile-mega,False,grass|dragon,70,110,75,145,85,145,Lightning Rod,80,19,552,generation-iii,False,False
0255,255,Torchic,Torchic,torchic,True,fire,45,60,40,70,50,45,Blaze|Speed Boost,82,4,25,generation-iii,False,False
0256,256,Combusken,Combusken,combusken,True,fire|fighting,60,85,60,85,60,55,Blaze|Speed Boost,101,9,195,generation-iii,False,False
0257,257,Blaziken,Blaziken,blaziken,True,fire|fighting,80,120,70,110,70,80,Blaze|Speed Boost,122,19,520,generation-iii,False,False
0257,257,Blaziken,Blaziken Mega,blaziken-mega,False,fire|fighting,80,160,80,130,80,100,Speed Boost,80,19,520,generation-iii,False,False
0258,258,Mudkip,Mudkip,mudkip,True,water,50,70,50,50,50,40,Torrent|Damp,85,4,76,generation-iii,False,False
0259,259,Marshtomp,Marshtomp,marshtomp,True,water|ground,70,85,70,60,70,50,Torrent|Damp,96,7,280,generation-iii,False,False
0260,260,Swampert,Swampert,swampert,True,water|ground,100,110,90,85,90,60,Torrent|Damp,116,15,819,generation-iii,False,False
0260,260,Swampert,Swampert Mega,swampert-mega,False,water|ground,100,150,110,95,110,70,Swift Swim,69,19,1020,generation-iii,False,False
0261,261,Poochyena,Poochyena,poochyena,True,dark,35,55,35,30,30,35,Run Away|Quick Feet|Rattled,77,5,136,generation-iii,False,False
0262,262,Mightyena,Mightyena,mightyena,True,dark,70,90,70,60,60,70,Intimidate|Quick Feet|Moxie,80,10,370,generation-iii,False,False
0263,263,Zigzagoon,Zigzagoon,zigzagoon,True,normal,38,30,41,30,41,60,Pickup|Gluttony|Quick Feet,81,4,175,generation-iii,False,False
0263,263,Zigzagoon,Zigzagoon Galar,zigzagoon-galar,False,dark|normal,38,30,41,30,41,60,Pickup|Gluttony|Quick Feet,56,4,175,generation-iii,False,False
0264,264,Linoone,Linoone,linoone,True,normal,78,70,61,50,61,100,Pickup|Gluttony|Quick Feet,88,5,325,generation-iii,False,False
0264,264,Linoone,Linoone Galar,linoone-galar,False,dark|normal,78,70,61,50,61,100,Pickup|Gluttony|Quick Feet,63,5,325,generation-iii,False,False
0265,265,Wurmple,Wurmple,wurmple,True,bug,45,45,35,20,30,20,Shield Dust|Run Away,6,3,36,generation-iii,False,False
0266,266,Silcoon,Silcoon,silcoon,True,bug,50,35,55,25,25,15,Shed Skin,7,6,100,generation-iii,False,False
0267,267,Beautifly,Beautifly,beautifly,True,bug|flying,60,70,50,100,50,65,Swarm|Rivalry,66,10,284,generation-iii,False,False
0268,268,Cascoon,Cascoon,cascoon,True,bug,50,35,55,25,25,15,Shed Skin,7,7,115,generation-iii,False,False
0269,269,Dustox,Dustox,dustox,True,bug|poison,60,50,70,50,90,65,Shield Dust|Compound Eyes,66,12,316,generation-iii,False,False
0270,270,Lotad,Lotad,lotad,True,water|grass,40,30,30,40,50,30,Swift Swim|Rain Dish|Own Tempo,72,5,26,generation-iii,False,False
0271,271,Lombre,Lombre,lombre,True,water|grass,60,50,50,60,70,50,Swift Swim|Rain Dish|Own Tempo,97,12,325,generation-iii,False,False
0272,272,Ludicolo,Ludicolo,ludicolo,True,water|grass,80,70,70,90,100,70,Swift Swim|Rain Dish|Own Tempo,104,15,550,generation-iii,False,False
0273,273,Seedot,Seedot,seedot,True,grass,40,40,50,30,30,30,Chlorophyll|Early Bird|Pickpocket,75,5,40,generation-iii,False,False
0274,274,Nuzleaf,Nuzleaf,nuzleaf,True,grass|dark,70,70,40,60,40,60,Chlorophyll|Early Bird|Pickpocket,108,10,280,generation-iii,False,False
0275,275,Shiftry,Shiftry,shiftry,True,grass|dark,90,100,60,90,60,80,Chlorophyll|Wind Rider|Pickpocket,136,13,596,generation-iii,False,False
