display_name,species_display_name,form_display_name,dex_number,sprite_form,form_api_name,is_shiny,sprite_type,types,base_stats,original_filename,local_filename,local_path,source_page,image_url
Gliscor,Gliscor,Gliscor,0472,,gliscor,False,normal,ground|flying,"{""hp"": 75, ""attack"": 95, ""defense"": 125, ""special_attack"": 45, ""special_defense"": 75, ""speed"": 95}",Menu CP 0472.png,Menu_CP_0472.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0472.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0472.png,https://archives.bulbagarden.net/media/upload/a/a9/Menu_CP_0472.png
Mamoswine,Mamoswine,Mamoswine,0473,,mamoswine,False,normal,ice|ground,"{""hp"": 110, ""attack"": 130, ""defense"": 80, ""special_attack"": 70, ""special_defense"": 60, ""speed"": 80}",Menu CP 0473.png,Menu_CP_0473.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0473.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0473.png,https://archives.bulbagarden.net/media/upload/7/76/Menu_CP_0473.png
Gallade Mega,Gallade,Gallade Mega,0475,Mega,gallade-mega,False,normal,psychic|fighting,"{""hp"": 68, ""attack"": 165, ""defense"": 95, ""special_attack"": 65, ""special_defense"": 115, ""speed"": 110}",Menu CP 0475-Mega.png,Menu_CP_0475-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0475-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0475-Mega.png,https://archives.bulbagarden.net/media/upload/a/a3/Menu_CP_0475-Mega.png
Gallade,Gallade,Gallade,0475,,gallade,False,normal,psychic|fighting,"{""hp"": 68, ""attack"": 125, ""defense"": 65, ""special_attack"": 65, ""special_defense"": 115, ""speed"": 80}",Menu CP 0475.png,Menu_CP_0475.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0475.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0475.png,https://archives.bulbagarden.net/media/upload/0/07/Menu_CP_0475.png
Froslass Mega,Froslass,Froslass Mega,0478,Mega,froslass-mega,False,normal,ice|ghost,"{""hp"": 70, ""attack"": 80, ""defense"": 70, ""special_attack"": 140, ""special_defense"": 100, ""speed"": 120}",Menu CP 0478-Mega.png,Menu_CP_0478-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0478-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0478-Mega.png,https://archives.bulbagarden.net/media/upload/a/ab/Menu_CP_0478-Mega.png
Froslass,Froslass,Froslass,0478,,froslass,False,normal,ice|ghost,"{""hp"": 70, ""attack"": 80, ""defense"": 70, ""special_attack"": 80, ""special_defense"": 70, ""speed"": 110}",Menu CP 0478.png,Menu_CP_0478.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0478.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0478.png,https://archives.bulbagarden.net/media/upload/d/db/Menu_CP_0478.png
Rotom Fan,Rotom,Rotom Fan,0479,Fan,rotom-fan,False,normal,electric|flying,"{""hp"": 50, ""attack"": 65, ""defense"": 107, ""special_attack"": 105, ""special_defense"": 107, ""speed"": 86}",Menu CP 0479-Fan.png,Menu_CP_0479-Fan.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0479-Fan.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0479-Fan.png,https://archives.bulbagarden.net/media/upload/2/2f/Menu_CP_0479-Fan.png
Rotom Frost,Rotom,Rotom Frost,0479,Frost,rotom-frost,False,normal,electric|ice,"{""hp"": 50, ""attack"": 65, ""defense"": 107, ""special_attack"": 105, ""special_defense"": 107, ""speed"": 86}",Menu CP 0479-Frost.png,Menu_CP_0479-Frost.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0479-Frost.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0479-Frost.png,https://archives.bulbagarden.net/media/upload/8/84/Menu_CP_0479-Frost.png
Rotom Heat,Rotom,Rotom Heat,0479,Heat,rotom-heat,False,normal,electric|fire,"{""hp"": 50, ""attack"": 65, ""defense"": 107, ""special_attack"": 105, ""special_defense"": 107, ""speed"": 86}",Menu CP 0479-Heat.png,Menu_CP_0479-Heat.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0479-Heat.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0479-Heat.png,https://archives.bulbagarden.net/media/upload/f/f2/Menu_CP_0479-Heat.png
Rotom Mow,Rotom,Rotom Mow,0479,Mow,rotom-mow,False,normal,electric|grass,"{""hp"": 50, ""attack"": 65, ""defense"": 107, ""special_attack"": 105, ""special_defense"": 107, ""speed"": 86}",Menu CP 0479-Mow.png,Menu_CP_0479-Mow.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0479-Mow.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0479-Mow.png,https://archives.bulbagarden.net/media/upload/8/82/Menu_CP_0479-Mow.png
Rotom Wash,Rotom,Rotom Wash,0479,Wash,rotom-wash,False,normal,electric|water,"{""hp"": 50, ""attack"": 65, ""defense"": 107, ""special_attack"": 105, ""special_defense"": 107, ""speed"": 86}",Menu CP 0479-Wash.png,Menu_CP_0479-Wash.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0479-Wash.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0479-Wash.png,https://archives.bulbagarden.net/media/upload/2/22/Menu_CP_0479-Wash.png
Rotom,Rotom,Rotom,0479,,rotom,False,normal,electric|ghost,"{""hp"": 50, ""attack"": 50, ""defense"": 77, ""special_attack"": 95, ""special_defense"": 77, ""speed"": 91}",Menu CP 0479.png,Menu_CP_0479.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0479.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0479.png,https://archives.bulbagarden.net/media/upload/b/bf/Menu_CP_0479.png
Serperior,Serperior,Serperior,0497,,serperior,False,normal,grass,"{""hp"": 75, ""attack"": 75, ""defense"": 95, ""special_attack"": 75, ""special_defense"": 95, ""speed"": 113}",Menu CP 0497.png,Menu_CP_0497.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0497.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0497.png,https://archives.bulbagarden.net/media/upload/a/a9/Menu_CP_0497.png
Emboar Mega,Emboar,Emboar Mega,0500,Mega,emboar-mega,False,normal,fire|fighting,"{""hp"": 110, ""attack"": 148, ""defense"": 75, ""special_attack"": 110, ""special_defense"": 110, ""speed"": 75}",Menu CP 0500-Mega.png,Menu_CP_0500-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0500-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0500-Mega.png,https://archives.bulbagarden.net/media/upload/6/6a/Menu_CP_0500-Mega.png
Emboar,Emboar,Emboar,0500,,emboar,False,normal,fire|fighting,"{""hp"": 110, ""attack"": 123, ""defense"": 65, ""special_attack"": 100, ""special_defense"": 65, ""speed"": 65}",Menu CP 0500.png,Menu_CP_0500.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0500.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0500.png,https://archives.bulbagarden.net/media/upload/e/ee/Menu_CP_0500.png
Samurott Hisui,Samurott,Samurott Hisui,0503,Hisui,samurott-hisui,False,normal,water|dark,"{""hp"": 90, ""attack"": 108, ""defense"": 80, ""special_attack"": 100, ""special_defense"": 65, ""speed"": 85}",Menu CP 0503-Hisui.png,Menu_CP_0503-Hisui.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0503-Hisui.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0503-Hisui.png,https://archives.bulbagarden.net/media/upload/b/b6/Menu_CP_0503-Hisui.png
Samurott,Samurott,Samurott,0503,,samurott,False,normal,water,"{""hp"": 95, ""attack"": 100, ""defense"": 85, ""special_attack"": 108, ""special_defense"": 70, ""speed"": 70}",Menu CP 0503.png,Menu_CP_0503.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0503.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0503.png,https://archives.bulbagarden.net/media/upload/5/57/Menu_CP_0503.png
Watchog,Watchog,Watchog,0505,,watchog,False,normal,normal,"{""hp"": 60, ""attack"": 85, ""defense"": 69, ""special_attack"": 60, ""special_defense"": 69, ""speed"": 77}",Menu CP 0505.png,Menu_CP_0505.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0505.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0505.png,https://archives.bulbagarden.net/media/upload/a/a7/Menu_CP_0505.png
Liepard,Liepard,Liepard,0510,,liepard,False,normal,dark,"{""hp"": 64, ""attack"": 88, ""defense"": 50, ""special_attack"": 88, ""special_defense"": 50, ""speed"": 106}",Menu CP 0510.png,Menu_CP_0510.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0510.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0510.png,https://archives.bulbagarden.net/media/upload/a/a7/Menu_CP_0510.png
Simisage,Simisage,Simisage,0512,,simisage,False,normal,grass,"{""hp"": 75, ""attack"": 98, ""defense"": 63, ""special_attack"": 98, ""special_defense"": 63, ""speed"": 101}",Menu CP 0512.png,Menu_CP_0512.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0512.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0512.png,https://archives.bulbagarden.net/media/upload/3/30/Menu_CP_0512.png
Simisear,Simisear,Simisear,0514,,simisear,False,normal,fire,"{""hp"": 75, ""attack"": 98, ""defense"": 63, ""special_attack"": 98, ""special_defense"": 63, ""speed"": 101}",Menu CP 0514.png,Menu_CP_0514.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0514.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0514.png,https://archives.bulbagarden.net/media/upload/4/4c/Menu_CP_0514.png
Simipour,Simipour,Simipour,0516,,simipour,False,normal,water,"{""hp"": 75, ""attack"": 98, ""defense"": 63, ""special_attack"": 98, ""special_defense"": 63, ""speed"": 101}",Menu CP 0516.png,Menu_CP_0516.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0516.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0516.png,https://archives.bulbagarden.net/media/upload/1/17/Menu_CP_0516.png
Excadrill Mega,Excadrill,Excadrill Mega,0530,Mega,excadrill-mega,False,normal,ground|steel,"{""hp"": 110, ""attack"": 165, ""defense"": 100, ""special_attack"": 65, ""special_defense"": 65, ""speed"": 103}",Menu CP 0530-Mega.png,Menu_CP_0530-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0530-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0530-Mega.png,https://archives.bulbagarden.net/media/upload/b/b1/Menu_CP_0530-Mega.png
Excadrill,Excadrill,Excadrill,0530,,excadrill,False,normal,ground|steel,"{""hp"": 110, ""attack"": 135, ""defense"": 60, ""special_attack"": 50, ""special_defense"": 65, ""speed"": 88}",Menu CP 0530.png,Menu_CP_0530.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0530.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0530.png,https://archives.bulbagarden.net/media/upload/0/0c/Menu_CP_0530.png
Audino Mega,Audino,Audino Mega,0531,Mega,audino-mega,False,normal,normal|fairy,"{""hp"": 103, ""attack"": 60, ""defense"": 126, ""special_attack"": 80, ""special_defense"": 126, ""speed"": 50}",Menu CP 0531-Mega.png,Menu_CP_0531-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0531-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0531-Mega.png,https://archives.bulbagarden.net/media/upload/8/84/Menu_CP_0531-Mega.png
Audino,Audino,Audino,0531,,audino,False,normal,normal,"{""hp"": 103, ""attack"": 60, ""defense"": 86, ""special_attack"": 60, ""special_defense"": 86, ""speed"": 50}",Menu CP 0531.png,Menu_CP_0531.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0531.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0531.png,https://archives.bulbagarden.net/media/upload/0/0a/Menu_CP_0531.png
Conkeldurr,Conkeldurr,Conkeldurr,0534,,conkeldurr,False,normal,fighting,"{""hp"": 105, ""attack"": 140, ""defense"": 95, ""special_attack"": 55, ""special_defense"": 65, ""speed"": 45}",Menu CP 0534.png,Menu_CP_0534.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0534.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0534.png,https://archives.bulbagarden.net/media/upload/1/1e/Menu_CP_0534.png
Whimsicott,Whimsicott,Whimsicott,0547,,whimsicott,False,normal,grass|fairy,"{""hp"": 60, ""attack"": 67, ""defense"": 85, ""special_attack"": 77, ""special_defense"": 75, ""speed"": 116}",Menu CP 0547.png,Menu_CP_0547.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0547.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0547.png,https://archives.bulbagarden.net/media/upload/6/69/Menu_CP_0547.png
Krookodile,Krookodile,Krookodile,0553,,krookodile,False,normal,ground|dark,"{""hp"": 95, ""attack"": 117, ""defense"": 80, ""special_attack"": 65, ""special_defense"": 70, ""speed"": 92}",Menu CP 0553.png,Menu_CP_0553.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0553.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0553.png,https://archives.bulbagarden.net/media/upload/6/66/Menu_CP_0553.png
Cofagrigus,Cofagrigus,Cofagrigus,0563,,cofagrigus,False,normal,ghost,"{""hp"": 58, ""attack"": 50, ""defense"": 145, ""special_attack"": 95, ""special_defense"": 105, ""speed"": 30}",Menu CP 0563.png,Menu_CP_0563.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0563.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0563.png,https://archives.bulbagarden.net/media/upload/0/01/Menu_CP_0563.png
Garbodor,Garbodor,Garbodor,0569,,garbodor,False,normal,poison,"{""hp"": 80, ""attack"": 95, ""defense"": 82, ""special_attack"": 60, ""special_defense"": 82, ""speed"": 75}",Menu CP 0569.png,Menu_CP_0569.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0569.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0569.png,https://archives.bulbagarden.net/media/upload/9/9c/Menu_CP_0569.png
Zoroark Hisui,Zoroark,Zoroark Hisui,0571,Hisui,zoroark-hisui,False,normal,normal|ghost,"{""hp"": 55, ""attack"": 100, ""defense"": 60, ""special_attack"": 125, ""special_defense"": 60, ""speed"": 110}",Menu CP 0571-Hisui.png,Menu_CP_0571-Hisui.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0571-Hisui.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0571-Hisui.png,https://archives.bulbagarden.net/media/upload/3/38/Menu_CP_0571-Hisui.png
Zoroark,Zoroark,Zoroark,0571,,zoroark,False,normal,dark,"{""hp"": 60, ""attack"": 105, ""defense"": 60, ""special_attack"": 120, ""special_defense"": 60, ""speed"": 105}",Menu CP 0571.png,Menu_CP_0571.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0571.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0571.png,https://archives.bulbagarden.net/media/upload/f/f3/Menu_CP_0571.png
Reuniclus,Reuniclus,Reuniclus,0579,,reuniclus,False,normal,psychic,"{""hp"": 110, ""attack"": 65, ""defense"": 75, ""special_attack"": 125, ""special_defense"": 85, ""speed"": 30}",Menu CP 0579.png,Menu_CP_0579.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0579.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0579.png,https://archives.bulbagarden.net/media/upload/e/ed/Menu_CP_0579.png
Vanilluxe,Vanilluxe,Vanilluxe,0584,,vanilluxe,False,normal,ice,"{""hp"": 71, ""attack"": 95, ""defense"": 85, ""special_attack"": 110, ""special_defense"": 95, ""speed"": 79}",Menu CP 0584.png,Menu_CP_0584.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0584.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0584.png,https://archives.bulbagarden.net/media/upload/6/68/Menu_CP_0584.png
Emolga,Emolga,Emolga,0587,,emolga,False,normal,electric|flying,"{""hp"": 55, ""attack"": 75, ""defense"": 60, ""special_attack"": 75, ""special_defense"": 60, ""speed"": 103}",Menu CP 0587.png,Menu_CP_0587.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0587.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0587.png,https://archives.bulbagarden.net/media/upload/c/c3/Menu_CP_0587.png
Chandelure Mega,Chandelure,Chandelure Mega,0609,Mega,chandelure-mega,False,normal,ghost|fire,"{""hp"": 60, ""attack"": 75, ""defense"": 110, ""special_attack"": 175, ""special_defense"": 110, ""speed"": 90}",Menu CP 0609-Mega.png,Menu_CP_0609-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0609-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0609-Mega.png,https://archives.bulbagarden.net/media/upload/4/40/Menu_CP_0609-Mega.png
Chandelure,Chandelure,Chandelure,0609,,chandelure,False,normal,ghost|fire,"{""hp"": 60, ""attack"": 55, ""defense"": 90, ""special_attack"": 145, ""special_defense"": 90, ""speed"": 80}",Menu CP 0609.png,Menu_CP_0609.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0609.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0609.png,https://archives.bulbagarden.net/media/upload/2/29/Menu_CP_0609.png
Beartic,Beartic,Beartic,0614,,beartic,False,normal,ice,"{""hp"": 95, ""attack"": 130, ""defense"": 80, ""special_attack"": 70, ""special_defense"": 80, ""speed"": 50}",Menu CP 0614.png,Menu_CP_0614.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0614.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0614.png,https://archives.bulbagarden.net/media/upload/8/85/Menu_CP_0614.png
Stunfisk Galar,Stunfisk,Stunfisk Galar,0618,Galar,stunfisk-galar,False,normal,ground|steel,"{""hp"": 109, ""attack"": 81, ""defense"": 99, ""special_attack"": 66, ""special_defense"": 84, ""speed"": 32}",Menu CP 0618-Galar.png,Menu_CP_0618-Galar.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0618-Galar.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0618-Galar.png,https://archives.bulbagarden.net/media/upload/2/20/Menu_CP_0618-Galar.png
Stunfisk,Stunfisk,Stunfisk,0618,,stunfisk,False,normal,ground|electric,"{""hp"": 109, ""attack"": 66, ""defense"": 84, ""special_attack"": 81, ""special_defense"": 99, ""speed"": 32}",Menu CP 0618.png,Menu_CP_0618.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0618.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0618.png,https://archives.bulbagarden.net/media/upload/e/ed/Menu_CP_0618.png
Golurk Mega,Golurk,Golurk Mega,0623,Mega,golurk-mega,False,normal,ground|ghost,"{""hp"": 89, ""attack"": 159, ""defense"": 105, ""special_attack"": 70, ""special_defense"": 105, ""speed"": 55}",Menu CP 0623-Mega.png,Menu_CP_0623-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0623-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0623-Mega.png,https://archives.bulbagarden.net/media/upload/b/ba/Menu_CP_0623-Mega.png
Golurk,Golurk,Golurk,0623,,golurk,False,normal,ground|ghost,"{""hp"": 89, ""attack"": 124, ""defense"": 80, ""special_attack"": 55, ""special_defense"": 80, ""speed"": 55}",Menu CP 0623.png,Menu_CP_0623.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0623.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0623.png,https://archives.bulbagarden.net/media/upload/6/6f/Menu_CP_0623.png
Hydreigon,Hydreigon,Hydreigon,0635,,hydreigon,False,normal,dark|dragon,"{""hp"": 92, ""attack"": 105, ""defense"": 90, ""special_attack"": 125, ""special_defense"": 90, ""speed"": 98}",Menu CP 0635.png,Menu_CP_0635.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0635.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0635.png,https://archives.bulbagarden.net/media/upload/6/6e/Menu_CP_0635.png
Volcarona,Volcarona,Volcarona,0637,,volcarona,False,normal,bug|fire,"{""hp"": 85, ""attack"": 60, ""defense"": 65, ""special_attack"": 135, ""special_defense"": 105, ""speed"": 100}",Menu CP 0637.png,Menu_CP_0637.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0637.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0637.png,https://archives.bulbagarden.net/media/upload/1/19/Menu_CP_0637.png
Chesnaught Mega,Chesnaught,Chesnaught Mega,0652,Mega,chesnaught-mega,False,normal,grass|fighting,"{""hp"": 88, ""attack"": 137, ""defense"": 172, ""special_attack"": 74, ""special_defense"": 115, ""speed"": 44}",Menu CP 0652-Mega.png,Menu_CP_0652-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0652-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0652-Mega.png,https://archives.bulbagarden.net/media/upload/1/14/Menu_CP_0652-Mega.png
Chesnaught,Chesnaught,Chesnaught,0652,,chesnaught,False,normal,grass|fighting,"{""hp"": 88, ""attack"": 107, ""defense"": 122, ""special_attack"": 74, ""special_defense"": 75, ""speed"": 64}",Menu CP 0652.png,Menu_CP_0652.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0652.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0652.png,https://archives.bulbagarden.net/media/upload/a/a8/Menu_CP_0652.png
Delphox Mega,Delphox,Delphox Mega,0655,Mega,delphox-mega,False,normal,fire|psychic,"{""hp"": 75, ""attack"": 69, ""defense"": 72, ""special_attack"": 159, ""special_defense"": 125, ""speed"": 134}",Menu CP 0655-Mega.png,Menu_CP_0655-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0655-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0655-Mega.png,https://archives.bulbagarden.net/media/upload/6/65/Menu_CP_0655-Mega.png
Delphox,Delphox,Delphox,0655,,delphox,False,normal,fire|psychic,"{""hp"": 75, ""attack"": 69, ""defense"": 72, ""special_attack"": 114, ""special_defense"": 100, ""speed"": 104}",Menu CP 0655.png,Menu_CP_0655.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0655.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0655.png,https://archives.bulbagarden.net/media/upload/f/f3/Menu_CP_0655.png
Greninja Mega,Greninja,Greninja Mega,0658,Mega,greninja-mega,False,normal,water|dark,"{""hp"": 72, ""attack"": 125, ""defense"": 77, ""special_attack"": 133, ""special_defense"": 81, ""speed"": 142}",Menu CP 0658-Mega.png,Menu_CP_0658-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0658-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0658-Mega.png,https://archives.bulbagarden.net/media/upload/1/13/Menu_CP_0658-Mega.png
Greninja,Greninja,Greninja,0658,,greninja,False,normal,water|dark,"{""hp"": 72, ""attack"": 95, ""defense"": 67, ""special_attack"": 103, ""special_defense"": 71, ""speed"": 122}",Menu CP 0658.png,Menu_CP_0658.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0658.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0658.png,https://archives.bulbagarden.net/media/upload/9/9d/Menu_CP_0658.png
Diggersby,Diggersby,Diggersby,0660,,diggersby,False,normal,normal|ground,"{""hp"": 85, ""attack"": 56, ""defense"": 77, ""special_attack"": 50, ""special_defense"": 77, ""speed"": 78}",Menu CP 0660.png,Menu_CP_0660.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0660.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0660.png,https://archives.bulbagarden.net/media/upload/b/b2/Menu_CP_0660.png
Talonflame,Talonflame,Talonflame,0663,,talonflame,False,normal,fire|flying,"{""hp"": 78, ""attack"": 81, ""defense"": 71, ""special_attack"": 74, ""special_defense"": 69, ""speed"": 126}",Menu CP 0663.png,Menu_CP_0663.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0663.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0663.png,https://archives.bulbagarden.net/media/upload/5/50/Menu_CP_0663.png
Vivillon,Vivillon,Vivillon,0666,Archipelago,vivillon,False,normal,bug|flying,"{""hp"": 80, ""attack"": 52, ""defense"": 50, ""special_attack"": 90, ""special_defense"": 50, ""speed"": 89}",Menu CP 0666-Archipelago.png,Menu_CP_0666-Archipelago.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0666-Archipelago.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0666-Archipelago.png,https://archives.bulbagarden.net/media/upload/2/2d/Menu_CP_0666-Archipelago.png
